Genotype	Trio	IsHybrid	Treatment	Replicate	Tray	Potpos	PlantBatch	LibBatch	ttlReads	ttlMapped	percMapped	Day13mpp
S88	p5890	10F	Inbred	BTH	R1	T8	8D6	A	a	4475913	4047231	0.904224679970321	61.13046875
S89	rd207	5H	Hybrid	BTH	R2	T15	15A3	A	a	2098432	1801494	0.858495295534952	81.56890625
S91	p6390	8F	Inbred	BTH	R2	T15	15F6	A	a	3400946	2865044	0.842425607463335	48.82515625
S92	rd193	24H	Hybrid	BTH	R2	T15	15F10	A	a	3702025	3276050	0.884934596605912	55.9284375
S93	p5950	6M	Inbred	BTH	R2	T15	15E1	A	a	3059591	2567989	0.839324275695673	32.77015625
S95	rd208	22H	Hybrid	BTH	R2	T15	15E7	A	a	6585617	5591133	0.848991521978882	48.34984375
S97	rd161	3H	Hybrid	Mock	R1	T9	9C10	A	b	4112607	3733616	0.907846531409396	125.0071875
S98	p7319	21F	Inbred	Mock	R1	T9	9E9	A	b	4343646	3964239	0.912652412282216	132.32171875
S99	rd199	9H	Hybrid	Mock	R1	T9	9E5	A	b	4766234	4372230	0.917334314681151	77.23828125
S100	rd337	32H	Hybrid	Mock	R1	T9	9C4	A	b	4595491	4100936	0.892382554987051	139.76828125
S101	rd107	38H	Hybrid	Mock	R1	T9	9A3	A	b	4029867	3723884	0.92407119143138	193.05609375
S102	p108	21M	Inbred	Mock	R1	T9	9C9	A	b	4250530	3850403	0.905864209875004	104.56875
S103	p5907	34F	Inbred	Mock	R1	T9	9A8	A	b	3292079	2960231	0.89919804476138	62.76765625
S104	p5950	6M	Inbred	Mock	R1	T9	9D2	A	b	3268216	2973827	0.909923640297948	111.9361
S105	p7373	22M	Inbred	Mock	R1	T9	9E1	A	b	3326168	3048028	0.916378246679061	2.93109375
S106	p9914	32F	Inbred	Mock	R1	T9	9A4	A	b	2704905	2494524	0.922222407071598	63.58625
S107	rd205	34H	Hybrid	Mock	R1	T9	9E8	A	b	3067952	2792483	0.910210785566397	91.154375
S108	p10011	27M	Inbred	Mock	R1	T9	9A7	A	b	3643799	3335787	0.915469541541671	104.8328125
S109	p9559	38M	Inbred	Mock	R1	T9	9E3	A	b	3047939	2734201	0.897065525261496	51.51859375
S110	rd226	6H	Hybrid	Mock	R1	T9	9E2	A	b	3307313	3015232	0.91168631453993	98.2840625
S111	p9649	14M	Inbred	Mock	R1	T9	9A6	A	b	2964365	2720696	0.917800608224696	10.27203125
S112	p159	9F	Inbred	Mock	R1	T9	9A5	A	b	2713664	2476884	0.912745277234028	26.64390625
S113	rd085	21H	Hybrid	Mock	R1	T9	9A9	A	b	4356270	3989537	0.915814905871307	150.06671875
S114	rd385	14H	Hybrid	Mock	R1	T9	9C6	A	b	3573677	3260699	0.912421296048859	93.92703125
S115	p10015	27F	Inbred	Mock	R1	T9	9E7	A	b	3803191	3452874	0.907888665070989	42.27640625
S116	p7058	3M	Inbred	Mock	R1	T9	9E10	A	b	4039679	3691347	0.913772356664973	89.8340625
S117	p7192	38F	Inbred	Mock	R1	T9	9C3	A	b	3452624	3180941	0.921311153487898	140.66609375
S118	p7158	6F	Inbred	Mock	R1	T9	9A2	A	b	3655864	3298037	0.90212245313283	82.17625
S119	rd208	22H	Hybrid	Mock	R1	T9	9C1	A	b	3398924	3102268	0.912720613935469	74.043125
S120	p5874	22F	Inbred	Mock	R1	T9	9A1	A	b	3279367	2962191	0.90328133447705	56.615
S121	rd193	24H	Hybrid	Mock	R2	T10	10A8	A	b	3651028	3260920	0.893151189199316	100.52859375
S122	p9649	14M	Inbred	Mock	R2	T10	10B4	A	b	2728775	2492302	0.913340968016784	59.49328125
S123	p7111	14F	Inbred	Mock	R1	T9	9E6	A	b	3970075	3713345	0.935333715358022	101.69046875
S124	p8247	3F	Inbred	Mock	R1	T9	9A10	A	b	4228895	3898103	0.92177814771944	129.10015625
S125	p6975	9M	Inbred	Mock	R1	T9	9C5	A	b	2454677	2243295	0.913886022478721	141.40546875
S126	rd545	27H	Hybrid	Mock	R1	T9	9C7	A	b	3593011	3286184	0.914604491887167	159.04484375
